index_mode,scenario,run,seconds,rows_affected,ops_per_sec
with_indexes,point_delete,1,0.0041071999999999775,1,243.47487339306716
with_indexes,point_delete,2,0.0032030999999999032,1,312.19755861510106
with_indexes,point_delete,3,0.003495599999999932,1,286.0739215013215
with_indexes,cascade_delete,1,0.003863099999999786,1,258.8594651963592
with_indexes,cascade_delete,2,0.003138799999999886,1,318.5930929017575
with_indexes,cascade_delete,3,0.004156399999999838,1,240.59282071023938
with_indexes,relationship_delete,1,0.003488400000000169,1,286.664373351666
with_indexes,relationship_delete,2,0.003158700000000181,1,316.5859372526491
with_indexes,relationship_delete,3,0.0037603000000001607,1,265.93622849239614
with_indexes,range_delete,1,0.005646299999999993,1000,177107.13210421006
with_indexes,range_delete,2,0.004893100000000317,1000,204369.41816025326
with_indexes,range_delete,3,0.004393399999999659,1000,227614.14849548816
with_indexes,concurrent_delete,1,0.2866597999999998,50,174.4227826852598
with_indexes,concurrent_delete,2,0.2548447000000005,50,196.19791975269607
with_indexes,concurrent_delete,3,0.2755833999999995,50,181.43327936298084
with_indexes,soft_delete,1,0.004439500000000152,1,225.25059128279443
with_indexes,soft_delete,2,0.004932700000000345,1,202.7287286881282
with_indexes,soft_delete,3,0.004094000000000264,1,244.25989252563153
