index_mode,scenario,run,seconds,rows_affected,ops_per_sec
with_indexes,point_update,1,0.0052243000000000706,1,191.41320368278744
with_indexes,point_update,2,0.00258619999999965,1,386.6676977805798
with_indexes,point_update,3,0.0021101000000003367,1,473.9111890430977
with_indexes,nested_update,1,0.002806500000000156,1,356.31569570637606
with_indexes,nested_update,2,0.0025700999999997975,1,389.08991868023764
with_indexes,nested_update,3,0.002138500000000043,1,467.6174888940752
with_indexes,bulk_update,1,3.8735982,80013,20655.988532832343
with_indexes,bulk_update,2,1.1892969999999998,80013,67277.5597685019
with_indexes,bulk_update,3,3.0604774999999993,80013,26143.959561865762
with_indexes,atomic_increment,1,0.0036004999999992293,1,277.73920288854714
with_indexes,atomic_increment,2,0.0048040000000000305,1,208.15986677768393
with_indexes,atomic_increment,3,0.002626799999999818,1,380.6913354652312
with_indexes,list_append,1,0.003913600000000628,1,255.5192150449304
with_indexes,list_append,2,0.009202200000000715,1,108.66966594943842
with_indexes,list_append,3,0.003247,1,307.9765937788728
with_indexes,cas_update,1,0.00284860000000009,1,351.0496384188613
with_indexes,cas_update,2,0.001986799999999178,0,
with_indexes,cas_update,3,0.0015858000000008587,0,
