index_mode,scenario,run,seconds,rows_affected,ops_per_sec
no_indexes,point_delete,1,0.004740500000000036,1,210.94821221389986
no_indexes,point_delete,2,0.003218000000000054,1,310.75201988812404
no_indexes,point_delete,3,0.004003500000000049,1,249.78144123891292
no_indexes,cascade_delete,1,0.06614830000000005,1,15.117546482676037
no_indexes,cascade_delete,2,0.06417450000000002,1,15.582513303570728
no_indexes,cascade_delete,3,0.06268999999999991,1,15.951507417450971
no_indexes,relationship_delete,1,0.003457700000000008,1,289.20959019001003
no_indexes,relationship_delete,2,0.004155300000000084,1,240.65651096189922
no_indexes,relationship_delete,3,0.003456600000000032,1,289.30162587513473
no_indexes,range_delete,1,0.005548499999999734,1000,180228.89069118642
no_indexes,range_delete,2,0.004878799999999739,1000,204968.43486104236
no_indexes,range_delete,3,0.00415809999999972,1000,240494.45660279147
no_indexes,concurrent_delete,1,0.26185429999999954,50,190.94588097273976
no_indexes,concurrent_delete,2,0.2521196999999997,50,198.3184971265635
no_indexes,concurrent_delete,3,0.2669934999999999,50,187.27047662209014
no_indexes,soft_delete,1,0.013887900000000286,1,72.00512676502419
no_indexes,soft_delete,2,0.0040565999999993,1,246.51185722037485
no_indexes,soft_delete,3,0.0047002999999996575,1,212.75237750783415
