index_mode,scenario,run,seconds,rows_returned,rows_per_sec
no_indexes,point_read,1,0.0049727999999999994,1,201.09395109395112
no_indexes,point_read,2,0.0016000999999996601,1,624.9609399413864
no_indexes,point_read,3,0.0015385999999999456,1,649.9415052645492
no_indexes,partition_read,1,0.03174510000000019,5,157.50462276067708
no_indexes,partition_read,2,0.03302969999999972,5,151.37891049570666
no_indexes,partition_read,3,0.03220029999999996,6,186.33366769874837
no_indexes,top_n_ranking,1,0.005006300000000241,50,9987.415856020933
no_indexes,top_n_ranking,2,0.0027447999999998807,50,18216.263480035766
no_indexes,top_n_ranking,3,0.002866799999999614,50,17441.049253525438
no_indexes,secondary_index_read,1,0.002559300000000153,1000,390731.84073767834
no_indexes,secondary_index_read,2,0.0024391999999999747,1000,409970.48212529125
no_indexes,secondary_index_read,3,0.003052600000000183,1000,327589.5957544192
no_indexes,local_aggregation,1,0.04450270000000023,1,22.470546730872393
no_indexes,local_aggregation,2,0.04513290000000003,1,22.156785848017726
no_indexes,local_aggregation,3,0.049757699999999794,1,20.097391961445247
no_indexes,range_query,1,0.14857029999999982,52913,356147.89766191534
no_indexes,range_query,2,0.089121,52913,593720.8963095117
no_indexes,range_query,3,0.0917412999999998,52913,576763.1372130122
