index_mode,scenario,run,seconds,rows_returned,rows_per_sec
with_indexes,point_read,1,0.0022764999999997926,1,439.2708104546853
with_indexes,point_read,2,0.001537899999999759,1,650.2373366279711
with_indexes,point_read,3,0.0015347999999999473,1,651.5506906437545
with_indexes,partition_read,1,0.007388800000000195,5,676.699870073607
with_indexes,partition_read,2,0.003723099999999313,5,1342.9668824369269
with_indexes,partition_read,3,0.0018644000000005434,5,2681.827933918978
with_indexes,top_n_ranking,1,0.003715000000000579,50,13458.950201882155
with_indexes,top_n_ranking,2,0.002820599999999729,50,17726.724810325748
with_indexes,top_n_ranking,3,0.0029292999999999125,50,17068.92431639009
with_indexes,secondary_index_read,1,0.002880100000000496,1000,347210.16631360987
with_indexes,secondary_index_read,2,0.003013199999999827,1000,331873.0917297416
with_indexes,secondary_index_read,3,0.003192300000000259,1000,313253.7668765213
with_indexes,local_aggregation,1,0.002904299999999971,1,344.3170471370072
with_indexes,local_aggregation,2,0.003252100000000091,1,307.4936195073866
with_indexes,local_aggregation,3,0.0026396000000001862,1,378.8452795877896
with_indexes,range_query,1,0.0914432999999999,52913,578642.7217740399
with_indexes,range_query,2,0.07418000000000013,52913,713305.4731733608
with_indexes,range_query,3,0.07052250000000004,52913,750299.549789074
